obs_wl_air(A)	intens	Aki(s^-1)	fik	Acc
3947.505	7	5.6e+04	1.31e-04	C+	
3948.979	35	4.6e+05	6.4e-04	B	
4044.418	50	3.3e+05	1.36e-03	B	
4158.590	400	1.40e+06	3.6e-03	B	
4164.180	50	2.9e+05	4.5e-04	B	
4181.884	50	5.6e+05	4.4e-03	B	
4190.713	100	2.80e+05	7.4e-04	B	
4191.029	50	5.4e+05	4.3e-03	C+	
4198.317	200	2.57e+06	2.26e-03	B	
4200.674	400	9.7e+05	3.6e-03	B+	
4251.185	25	1.11e+05	1.8e-04	C+	
4259.362	200	3.98e+06	3.61e-03	B+	
4266.286	100	3.1e+05	1.42e-03	C+	
4272.169	150	8.0e+05	2.18e-03	B	
4300.101	100	3.77e+05	1.74e-03	B+	
4333.561	100	5.7e+05	2.67e-03	B+	
4335.338	50	3.9e+05	1.09e-03	C+	
4345.168	25	3.0e+05	8.4e-04	B	
4510.733	100	1.18e+06	1.20e-03	B+	
4522.323	20	9.0e+04	8.3e-04	B	
4596.097	15	9.5e+04	3.0e-04	B	
4628.441	7	3.83e+04	2.05e-04	B+	
4702.316	15	1.09e+05	3.6e-04	B	
5151.391	5	2.39e+06	3.17e-03	C	
5162.285	15	1.90e+06	7.60e-03	C	
5187.746	20	1.38e+06	9.29e-03	C	
5221.271	7	8.8e+05	4.6e-03	D	
5421.352	5	6.0e+05	1.9e-03	D	
5451.652	10	4.7e+05	3.5e-03	D+	
5495.874	25	1.69e+06	9.84e-03	C	
5506.113	5	3.6e+05	2.3e-03	D+	
5558.702	25	1.42e+06	1.10e-02	C	
5572.541	10	6.6e+05	4.3e-03	C	
5606.733	35	2.20e+06	1.04e-02	C	
5650.704	20	3.20e+06	5.11e-03	C	
5739.520	10	8.7e+05	7.2e-03	D	
5834.263	5	5.2e+05	2.7e-03	C	
5860.310	10	2.85e+05	1.47e-03	C	
5882.624	15	1.23e+06	2.13e-03	C	
5888.584	25	1.29e+06	4.79e-03	C	
5912.085	50	1.05e+06	5.51e-03	C	
5928.813	15	1.1e+06	3.5e-03	D+	
5942.669	5	1.8e+05	9.5e-04	D	
5987.302	7	1.2e+05	6.5e-04	D	
5998.999	5	1.4e+05	7.6e-04	D	
6025.150	5	9.0e+05	2.9e-03	D+	
6032.127	70	2.46e+06	1.73e-02	C	
6043.223	35	1.47e+06	1.13e-02	C	
6052.723	10	1.9e+05	1.7e-03	D+	
6059.372	20	4.2e+05	3.9e-03	C	
6098.803	7	5.2e+05	2.9e-03	D+	
6105.635	10	1.21e+06	1.13e-02	C	
6145.441	10	7.6e+05	6.0e-03	C	
6170.174	7	5.0e+05	2.9e-03	C	
6173.096	10	6.7e+05	6.4e-03	C	
6212.503	10	3.9e+05	3.2e-03	D+	
6215.938	5	5.7e+05	3.3e-03	D+	
6296.872	7	9.0e+05	8.9e-03	D+	
6307.657	15	6.0e+05	3.6e-03	D+	
6369.575	7	4.2e+05	1.5e-03	D+	
6384.717	20	4.21e+05	2.57e-03	C	
6416.307	70	1.16e+06	1.19e-02	C	
6538.112	15	1.1e+05	7.1e-04	D+	
6604.853	15	1.3e+04	1.2e-04	D	
6660.676	5	7.8e+05	1.7e-03	D	
6664.051	5	1.5e+05	1.0e-03	D+	
6677.282	100	2.36e+05	5.3e-04	B	
6752.834	150	1.93e+06	2.20e-02	C	
6756.163	5	3.6e+05	2.5e-03	D+	
6766.612	15	4.0e+05	1.6e-03	D+	
6871.289	150	2.78e+06	1.97e-02	C	
6879.582	5	1.8e+05	2.1e-03	D+	
6888.174	10	2.5e+05	3.0e-03	D+	
6937.664	50	3.08e+06	7.41e-03	C	
6951.478	7	2.2e+05	1.6e-03	D	
6960.250	7	2.4e+05	1.7e-03	D	
6965.431	10000	6.4e+06	2.79e-02	B+	
7030.251	150	2.67e+06	1.41e-02	C	
7067.218	10000	3.8e+06	2.85e-02	B	
7068.736	100	2.0e+06	9.0e-03	D+	
7107.478	25	4.5e+05	3.4e-03	D+	
7125.820	25	6.0e+05	4.6e-03	D+	
7147.042	1000	6.3e+05	2.87e-03	B	
7158.839	15	2.1e+06	5.4e-03	D+	
7206.980	70	2.48e+06	1.16e-02	C	
7265.172	15	1.7e+05	1.3e-03	D	
7270.664	7	1.1e+05	8.7e-04	D	
7272.936	2000	1.83e+06	1.45e-02	B+	
7311.716	35	1.7e+06	1.4e-02	D+	
7316.005	25	9.6e+05	7.7e-03	D+	
7350.814	5	1.2e+06	3.2e-03	D+	
7353.293	70	9.6e+05	1.1e-02	D+	
7372.118	200	1.9e+06	2.0e-02	D+	
7383.980	10000	8.5e+06	1.15e-01	B	
7392.980	20	7.2e+05	3.5e-03	D+	
7412.337	15	3.9e+05	5.4e-03	D+	
7425.294	10	3.1e+05	3.6e-03	D	
7435.368	25	9.0e+05	7.5e-03	D+	
7436.297	10	2.7e+05	1.6e-03	D	
7503.869	20000	4.5e+07	1.25e-01	B	
7514.652	15000	4.0e+07	1.14e-01	B	
7635.106	25000	2.45e+07	2.14e-01	B	
