obs_wl_air(A)	unc_obs_wl	intens	Aki(s^-1)	fik	Acc	Type
3943.540	0.020	20				
3984.065	0.020	20				
3984.253	0.020	70				
3995.298	0.020	10				
3995.721	0.020	10				
3998.594	0.020	10				
3999.263	0.020	10				
4013.752	0.020	10				
4013.995	0.020	20				
4020.015	0.020	20				
4037.262	0.020	50				
4037.615	0.020	150				
4037.696	0.020	50				
4042.327	0.020	100				
4042.642	0.020	500				
4045.662	0.020	20				
4064.036	0.020	500				
4064.829	0.020	150				
4068.835	0.020	300				
4069.243	0.020	300				
4069.389	0.020	50				
4079.359	0.020	20				
4080.148	0.020	500				
4111.882	0.020	10				
4112.100	0.020	150				
4112.694	0.020	200				
4112.865	0.020	100				
4126.941	0.020	20				
4128.072	0.020	300				
4130.512	0.020	200				
4131.0613	0.0020	700				
4164.8079	0.0020	500				
4166.091	0.020	300				
4173.966	0.020	20				
4174.3667	0.0020	700				
4175.2197	0.0020	600				
4175.488	0.020	400				
4196.415	0.020	150				
4198.1018	0.0020	700				
4203.270	0.020	20*				
4203.270	0.020	20*				
4203.270	0.020	20*				
4232.323	0.020	10				
4249.538	0.020	20				
4252.418	0.020	20				
4252.775	0.020	20				
4256.498	0.020	20*				
4256.498	0.020	20*				
4259.739	0.020	10				
4262.479	0.020	20				
4267.286	0.020	10				
4267.724	0.020	50				
4268.0086	0.0020	700				
4269.7223	0.0020	700				
4270.2252	0.0020	500				
4274.6617	0.0020	500				
4275.167	0.020	10				
4275.5590	0.0020	700				
4278.850	0.020	50				
4279.279	0.020	150				
4283.242	0.020	100				
4288.541	0.020	50				
4289.799	0.020	20				
4291.976	0.020	20*				
4291.976	0.020	20*				
4291.976	0.020	20*				
4303.248	0.020	300				
4303.695	0.020	10				
4303.955	0.020	50				
4306.2508	0.0020	700				
4310.130	0.020	20				
4314.110	0.020	10				
4314.695	0.020	300				
4316.008	0.020	150				
4318.834	0.020	50				
4319.511	0.020	10				
4321.492	0.020	20				
4327.265	0.020	100				
4334.1267	0.0004	700				
4336.2268	0.0020	500				
4338.200	0.020	20				
4340.256	0.020	20				
4340.420	0.020	20				
4345.479	0.020	20*				
4345.479	0.020	20*				
4345.762	0.020	10				
4346.036	0.020	150				
4357.298	0.020	20				
4357.918	0.020	50				
4358.816	0.020	20				
4362.690	0.020	300				
4363.228	0.020	20				
4363.5240	0.0010	700				
4365.705	0.020	10				
4371.796	0.020	20				
4372.157	0.020	300				
4374.997	0.020	20*				
4374.997	0.020	20*				
4377.754	0.020	20*				
4377.754	0.020	20				
4381.2200	0.0010	300				
4394.370	0.020	150*				
4394.370	0.020	150*				
4394.370	0.020	150*				
4394.773	0.020	150				
4395.008	0.020	10				
4395.306	0.020	10				
4395.5560	0.0010	500				
4395.969	0.020	10				
