Observed Rel.
4037.262 50
4037.615 150
4037.696 50
4042.327 100
4042.642 500
4064.036 500
4064.829 150
4068.835 300
4069.243 300
4069.389 50
4080.148 500
4112.1 150
4112.694 200
4112.865 100
4128.072 300
4130.512 200
4131.0613 700
4164.8079 500
4166.091 300
4174.3667 700
4175.2197 600
4175.488 400
4196.415 150
4198.1018 700
4267.724 50
4268.0086 700
4269.7223 700
4270.2252 500
4274.6617 500
4275.559 700
4278.85 50
4279.279 150
4283.242 100
4288.541 50
4303.248 300
4303.955 50
4306.2508 700
4314.695 300
4316.008 150
4318.834 50
4327.265 100
4334.1267 700
4336.2268 500
4346.036 150
4357.918 50
4362.69 300
4363.524 700
4372.157 300
4381.22 300
4394.773 150
4395.556 500
4398.136 50
4409.62 200
4412.285 200
4413.561 150
4415.141 50
4416.817 500
4421.5553 500
4422.5205 3000
4424.8065 3000
4425.4 1500
4427.755 300
4427.981 150
4432.5166 200
4433.398 100
4433.7239 700
4435.094 50
4444.978 300
4452.983 150
4453.253 50
4454.285 50
4455.564 150
4460.175 1000
4465.6544 500
4466.045 50
4466.812 700
4475.131 50
4475.656 1000
4480.823 150
4483.19 1500
4488.0926 3000
4491.7716 800
4491.838 500
4492.132 50
4492.412 300
4492.689 150
4493.108 50
4493.699 500
4500.182 500
4510.17 150
4514.891 700
4515.411 300
4516.936 500
4517.736 1000
4525.764 700
4526.177 500
4527.725 150
4529.476 300
4536.3003 1500
4537.6768 3000
4537.7545 10000
4538.3026 3000
4539.168 500
4540.3801 500
4544.502 500
4547.218 100
4547.728 150
4552.598 300
4554.415 100
4554.561 50
4554.824 400
4555.392 300
4565.888 600
4566.83 400
4567.139 150
4567.845 100
4573.0609 50
4573.557 500
4573.898 300
4575.062 3000
4575.858 200
4582.035 1500
4582.105 150
4582.4521 1500
4582.556 150
4582.98 50
4585.876 100
4593.243 500
4595.249 500
4604.095 150
4604.938 50
4609.365 300
4609.91 1500
4614.391 1000
4616.911 50
4617.837 700
4628.3113 1500
4628.46 300
4636.125 700
4636.6362 700
4636.974 500
4639.591 300
4640.443 700
4643.182 50
4644.833 400
4645.418 3000
4649.904 700
4652.101 300
4653.699 500
4656.3936 3000
4661.1054 1500
4663.092 400
4663.518 200
4666.654 500
4667.3643 1000
4670.884 700
4678.218 3000
4678.6107 500
4679.135 1500
4680.367 1000
4681.2 500
4681.93 200
4682.146 200
4682.91 100
4683.238 50
4683.764 300
4687.671 1000
4691.58 150
4695.363 200
4696.943 50
4700.469 50
4702.5305 1500
4704.3949 15000
4708.8594 12000
4710.065 10000
4710.4881 300
4712.0633 15000
4712.8 100
4714.3397 700
4715.1248 300
4715.258 300
4715.344 15000
4717.6085 700
