Observed Rel.
4037.262 50.0
4037.615 150.0
4037.696 50.0
4042.327 100.0
4042.642 500.0
4064.036 500.0
4064.829 150.0
4068.835 300.0
4069.243 300.0
4069.389 50.0
4080.148 500.0
4112.1 150.0
4112.694 200.0
4112.865 100.0
4128.072 300.0
4130.512 200.0
4131.0613 700.0
4164.8079 500.0
4166.091 300.0
4174.3667 700.0
4175.2197 600.0
4175.488 400.0
4196.415 150.0
4198.1018 700.0
4267.724 50.0
4268.0086 700.0
4269.7223 700.0
4270.2252 500.0
4274.6617 500.0
4275.559 700.0
4278.85 50.0
4279.279 150.0
4283.242 100.0
4288.541 50.0
4303.248 300.0
4303.955 50.0
4306.2508 700.0
4314.695 300.0
4316.008 150.0
4318.834 50.0
4327.265 100.0
4334.1267 700.0
4336.2268 500.0
4346.036 150.0
4357.918 50.0
4362.69 300.0
4363.524 700.0
4372.157 300.0
4381.22 300.0
4394.773 150.0
4395.556 500.0
4398.136 50.0
4409.62 200.0
4412.285 200.0
4413.561 150.0
4415.141 50.0
4416.817 500.0
4421.5553 500.0
4422.5205 3000.0
4424.8065 3000.0
4425.4 1500.0
4427.755 300.0
4427.981 150.0
4432.5166 200.0
4433.398 100.0
4433.7239 700.0
4435.094 50.0
4444.978 300.0
4452.983 150.0
4453.253 50.0
4454.285 50.0
4455.564 150.0
4460.175 1000.0
4465.6544 500.0
4466.045 50.0
4466.812 700.0
4475.131 50.0
4475.656 1000.0
4480.823 150.0
4483.19 1500.0
4488.0926 3000.0
4491.7716 800.0
4491.838 500.0
4492.132 50.0
4492.412 300.0
4492.689 150.0
4493.108 50.0
4493.699 500.0
4500.182 500.0
4510.17 150.0
4514.891 700.0
4515.411 300.0
4516.936 500.0
4517.736 1000.0
4525.764 700.0
4526.177 500.0
4527.725 150.0
4529.476 300.0
4536.3003 1500.0
4537.6768 3000.0
4537.7545 10000.0
4538.3026 3000.0
4539.168 500.0
4540.3801 500.0
4544.502 500.0
4547.218 100.0
4547.728 150.0
4552.598 300.0
4554.415 100.0
4554.561 50.0
4554.824 400.0
4555.392 300.0
4565.888 600.0
4566.83 400.0
4567.139 150.0
4567.845 100.0
4573.0609 50.0
4573.557 500.0
4573.898 300.0
4575.062 3000.0
4575.858 200.0
4582.035 1500.0
4582.105 150.0
4582.4521 1500.0
4582.556 150.0
4582.98 50.0
4585.876 100.0
4593.243 500.0
4595.249 500.0
4604.095 150.0
4604.938 50.0
4609.365 300.0
4609.91 1500.0
4614.391 1000.0
4616.911 50.0
4617.837 700.0
4628.3113 1500.0
4628.46 300.0
4636.125 700.0
4636.6362 700.0
4636.974 500.0
4639.591 300.0
4640.443 700.0
4643.182 50.0
4644.833 400.0
4645.418 3000.0
4649.904 700.0
4652.101 300.0
4653.699 500.0
4656.3936 3000.0
4661.1054 1500.0
4663.092 400.0
4663.518 200.0
4666.654 500.0
4667.3643 1000.0
4670.884 700.0
4678.218 3000.0
4678.6107 500.0
4679.135 1500.0
4680.367 1000.0
4681.2 500.0
4681.93 200.0
4682.146 200.0
4682.91 100.0
4683.238 50.0
4683.764 300.0
4687.671 1000.0
4691.58 150.0
4695.363 200.0
4696.943 50.0
4700.469 50.0
4702.5305 1500.0
4704.3949 15000.0
4708.8594 12000.0
4710.065 10000.0
4710.4881 300.0
4712.0633 15000.0
