Wavelength	Ion	Strength
3834.679	Ar	0
3850.581	Ar	0
3869.528	Ar	0
3925.719	Ar	0
3928.623	Ar	0
3932.547	Ar	0
3946.097	Ar	0
3948.979	Ar	0
3979.356	Ar	0
3994.792	Ar	0
4013.857	Ar	0
4033.809	Ar	0
4042.894	Ar	0
4044.419	Ar	0
4052.921	Ar	0
4072.005	Ar	0
4079.574	Ar	0
4082.387	Ar	0
4013.912	Ar	0
4156.086	Ar	0
4158.590	Ar	0
4164.180	Ar	0
4181.884	Ar	0
4190.713	Ar	0
4198.317	Ar	0
4200.674	Ar	1
4218.665	Ar	0
4222.637	Ar	0
4228.158	Ar	0
4237.220	Ar	0
4251.185	Ar	0
4259.362	Ar	0
4266.286	Ar	0
4272.169	Ar	0
4277.528	Ar	1
4282.898	Ar	0
4300.101	Ar	0
4333.581	Ar	1
4335.338	Ar	0
4345.168	Ar	0
4348.064	Ar	1
4352.205	Ar	0
4362.066	Ar	0
4370.753	Ar	1
4375.954	Ar	0
4379.667	Ar	0
4385.057	Ar	0
4400.988	Ar	1
4426.001	Ar	1
4433.838	Ar	0
4439.467	Ar	0
4448.879	Ar	0
4474.759	Ar	1
4481.811	Ar	1
4510.733	Ar	1
4545.052	Ar	1
4579.350	Ar	1
4589.898	Ar	1
4657.901	Ar	1
4726.868	Ar	1
4735.906	Ar	1
4764.865	Ar	2
4806.020	Ar	1
4847.810	Ar	0
4879.864	Ar	1
4889.042	Ar	0
4933.209	Ar	0
4965.080	Ar	1
5009.334	Ar	0
5017.163	Ar	1
5037.374	Ne	0
5062.037	Ar	0
5141.783	Ar	0
5145.308	Ar	0
5162.285	Ar	0
5165.773	Ar	0
5187.746	Ar	1
5221.271	Ar	0
5330.778	Ne	0
5341.094	Ne	0
5400.562	Ne	1
5421.352	Ar	0
5451.652	Ar	0
5495.874	Ar	1
5506.113	Ar	0
5558.702	Ar	1
5572.541	Ar	0
5606.733	Ar	1
5650.704	Ar	0
5719.225	Ne	0
5739.520	Ar	0
5748.298	Ne	0
5764.419	Ne	1
5804.450	Ne	0
5820.158	Ne	0
5852.488	Ne	3
5881.895	Ne	1
5912.085	Ar	1
5928.813	Ar	0
5944.834	Ne	2
5975.534	Ne	1
6029.997	Ne(blended with Ar 6032.127)	2
6043.223	Ar	1
6059.372	Ar	0
6074.338	Ne	2
6096.163	Ne	2
6114.923	Ar	1
6143.063	Ne	2
6163.594	Ne	2
6217.281	Ne	1
6266.495	Ne	2
3304.428	Ne	1
6334.428	Ne	2
6382.992	Ne	2
6402.246	Ne	3
6416.307	Ar	1
6506.528	Ne	2
6532.882	Ne	1
6598.953	Ne	2
6678.276	Ne	3
6717.043	Ne	2
6752.834	Ar	2
6562.810	H	3
4861.350	H	1
