Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
3948.622 3948.622 25325.29 7 56000.0 0.000131 C+ "11.54835442  -   14.68829030" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 2" "" T5223 L2634
3950.097 3950.096 25315.84 35 460000.0 0.00064 B "11.54835442  -   14.68711824" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 1" "" T5223 L2634
4045.561 4045.561 24718.45 50 330000.0 0.00136 B "11.62359272  -   14.68829030" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 2" "" T5223 L2634
4159.762 4159.763 24039.83 400 1400000.0 0.0036 B "11.54835442  -   14.52891349" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 2" "" T5223 L2634
4165.354 4165.353 24007.56 50 290000.0 0.00045 B "11.54835442  -   14.52491330" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 1" "" T5223 L2634
4183.063 4183.062 23905.93 50 560000.0 0.0044 B "11.72316039  -   14.68711824" "3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0" "3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 1" "" T5223 L2634
4191.894 4191.894 23855.57 100 280000.0 0.00074 B "11.54835442  -   14.50606764" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 2" "" T5223 L2634
4192.21 4192.21 23853.77 50 540000.0 0.0043 C+ "11.72316039  -   14.68065033" "3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0" "3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 1" "" T5223 L2634
4199.5 4199.5 23812.36 200 2570000.0 0.00226 B "11.62359272  -   14.57594878" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 0" "" T5223 L2634
4201.858 4201.858 23799.0 400 970000.0 0.0036 B+ "11.54835442  -   14.49905364" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 3" "" T5223 L2634
4252.382 4252.382 23516.23 25 111000.0 0.00018 C+ "11.54835442  -   14.46399577" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2" "3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 1" "" T5223 L2634
4260.561 4260.561 23471.09 200 3980000.0 0.00361 B+ "11.82807116  -   14.73811536" "3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1" "3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 0" "" T5223 L2634
4267.487 4267.487 23433.0 100 310000.0 0.00142 C+ "11.62359272  -   14.52891349" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 2" "" T5223 L2634
4273.371 4273.371 23400.73 150 800000.0 0.00218 B "11.62359272  -   14.52491330" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 1" "" T5223 L2634
4301.311 4301.311 23248.73 100 377000.0 0.00174 B+ "11.62359272  -   14.50606764" "3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1" "3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 2" "" T5223 L2634
