Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
3901.7301 3901.7314 25629.656 8 7200000.0 0.025 B "19.61030789   -   22.78797918" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "3s2.3p4.(3P).4d    | 4D    | 5/2" "" T926 L11520
3908.06 3908.04518 25588.2 0bl? "" "" "" "18.25395203   -   21.42648951" "3s2.3p4.(3P).3d    | 4P    | 1/2" "3s2.3p4.(1D).4p    | 2P*   | 1/2" "" "" L14821
3912.6838 3912.68377 25557.905 6 7700000.0 0.035 C+ "19.64258207   -   22.81135843" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "3s2.3p4.(3P).4d    | 4D    | 3/2" "" T926 L11520
3915.8761 3915.87568 25537.069 25 3700000.0 0.0085 B "16.44411446   -   19.61030789" "3s2.3p4.(3P).3d    | 4D    | 3/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
3916.625 3916.6376 25532.19 1bl "" "" "" "23.070289982  -   26.23586749" "3s2.3p4.(3P).4d    | 4F    | 5/2" "3s2.3p4.(3P<1>).6f | 2[4]* | 7/2" "" "" L14821
3918.8764 3918.87642 25517.518 5 100000.0 0.00023 C "18.33428084   -   21.498049871" "3s2.3p4.(3P).3d    | 4P    | 5/2" "3s2.3p4.(1D).4p    | 2D*   | 5/2" "" T1386n L11520
3923.47 3923.46866 25487.64 2 300000.0 0.00069 C "16.81247225   -   19.972538226" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 2S*   | 1/2" "" T926 L14821
3923.639 3923.64042 25486.55 1h "" "" "" "19.64258207   -   22.802509716" "3s2.3p4.(3P).4p    | 4D*   | 1/2" "3s2.3p4.(3P).5s    | 2P    | 1/2" "" "" L14821
3924.667 3924.666 25479.87 1 "" "" "" "23.484470418  -   26.643572" "3s2.3p4.(3P).5p    | 4D*   | 7/2" "3s2.3p4.(3P).8d    | 4F    | 9/2" "" "" L14821
3926.83018 3926.83007 25465.8328 129 140000000.0 0.22 D "21.127033505  -   24.28439443" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "3s2.3p4.(1D).5s    | 2D    | 3/2" "" T1240 L11520
3927.1568 3927.15711 25463.715 13 "" "" "" "21.127033505  -   24.284131501" "3s2.3p4.(1D).4p    | 2F*   | 5/2" "3s2.3p4.(1D).5s    | 2D    | 5/2" "" "" L11520
3929.73504 3929.73516 25447.0083 191 24400000.0 0.113 B "16.81247225   -   19.96749907" "3s2.3p4.(3P).4s    | 4P    | 1/2" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "" T926 L11520
3932.3483 3932.34851 25430.097 17 2000000.0 0.0093 B "16.45737782   -   19.61030789" "3s2.3p4.(3P).3d    | 4D    | 1/2" "3s2.3p4.(3P).4p    | 4D*   | 3/2" "" T926 L11520
3933.65966 3933.65974 25421.6199 91 93000000.0 0.22 C "19.96749907   -   23.11937815" "3s2.3p4.(3P).4p    | 4S*   | 3/2" "3s2.3p4.(3P).4d    | 4P    | 3/2" "" T926 L11520
