Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
3908.95 3908.92 25582.34 7 "" "" "" "26.603227    -   29.7750520" "3s2.3p3.(2D*).3d | 3P*  | 0" "3s2.3p3.(2P*).4p | 3D   | 1" "" "" L7493
3961.6079 3961.6106 25242.276 5 "" "" "" "26.52663924  -   29.6562805" "3s2.3p3.(2D*).3d | 3P*  | 2" "3s2.3p3.(2P*).4p | 3S   | 1" "" "" L11520
3996.72 3996.716 25020.52 8 "" "" "" "27.194389    -   30.29654080" "3s2.3p3.(2D*).3d | 1D*  | 2" "3s2.3p3.(2P*).4p | 1D   | 2" "" "" L9366
4024.7235 4024.7224 24846.427 4 "" "" "" "26.5757152   -   29.6562805" "3s2.3p3.(2D*).3d | 3P*  | 1" "3s2.3p3.(2P*).4p | 3S   | 1" "" "" L11520
4061.04 4060.99 24624.26 3 "" "" "" "26.603227    -   29.6562805" "3s2.3p3.(2D*).3d | 3P*  | 0" "3s2.3p3.(2P*).4p | 3S   | 1" "" "" L7493
4090.0456 4090.0453 24449.605 7 "" "" "" "27.2651759   -   30.29654080" "3s2.3p3.(2D*).3d | 1P*  | 1" "3s2.3p3.(2P*).4p | 1D   | 2" "" "" L11520
4099.35 4099.308 24394.13 4 "" "" "" "25.6936178   -   28.71813306" "3s2.3p3.(2P*).4s | 3P*  | 2" "3s2.3p3.(2D*).4p | 3P   | 1" "" "" L7493
4128.35 4128.392 24222.73 4 "" "" "" "25.730730    -   28.7339376" "3s2.3p3.(2P*).4s | 3P*  | 1" "3s2.3p3.(2D*).4p | 3P   | 0" "" "" L7493
4150.2 4150.233 24095.22 3 "" "" "" "25.730730    -   28.71813306" "3s2.3p3.(2P*).4s | 3P*  | 1" "3s2.3p3.(2D*).4p | 3P   | 1" "" "" L7493
4174.87 4174.812 23952.86 2 "" "" "" "25.7483182   -   28.71813306" "3s2.3p3.(2P*).4s | 3P*  | 0" "3s2.3p3.(2D*).4p | 3P   | 1" "" "" L7493
4184.1456 4184.145 23899.742 18 "" "" "" "24.76750685  -   27.7306976" "3s2.3p3.(2D*).4s | 1D*  | 2" "3s2.3p3.(2D*).4p | 1P   | 1" "" "" L11520
4200.01 4199.945 23809.45 3* "" "" "" "25.730730    -   28.68277299" "3s2.3p3.(2P*).4s | 3P*  | 1" "3s2.3p3.(2D*).4p | 3P   | 2" "" "" L7493
4200.01 4200.0 23809.45 3* "" "" "" "27.194389    -   30.1463937" "3s2.3p3.(2D*).3d | 1D*  | 2" "3s2.3p3.(2P*).4p | 3P   | 1" "" "" L7493
4450.45 4450.455 22469.64 7 "" "" "" "27.194389    -   29.9802663" "3s2.3p3.(2D*).3d | 1D*  | 2" "3s2.3p3.(2P*).4p | 1P   | 1" "" "" L9366
4549.84 4549.8268 21978.79 2 "" "" "" "23.2063731   -   25.93140430" "3s2.3p3.(2D*).3d | 3D*  | 1" "3s2.3p3.(4S*).4p | 3P   | 2" "" "" L9366
4566.49 4566.485 21898.66 8 "" "" "" "27.2651759   -   29.9802663" "3s2.3p3.(2D*).3d | 1P*  | 1" "3s2.3p3.(2P*).4p | 1P   | 1" "" "" L9366
4688.93 4688.9048 21326.83 5 "" "" "" "23.2872005   -   25.93140430" "3s2.3p3.(2D*).3d | 3D*  | 2" "3s2.3p3.(4S*).4p | 3P   | 2" "" "" L9366
4732.71 4732.73 21129.55 7 "" "" "" "26.063056    -   28.68277299" "3s2.3p3.(2P*).3d | 3D*  | 3" "3s2.3p3.(2D*).4p | 3P   | 2" "" "" L9366
4773.5 4773.523 20948.99 4 "" "" "" "28.71813306  -   31.3154643" "3s2.3p3.(2D*).4p | 3P   | 1" "3s2.3p3.(4S*).5s | 3S*  | 1" "" "" L9366
4802.71 4802.747 20821.58 2 "" "" "" "28.7339376   -   31.3154643" "3s2.3p3.(2D*).4p | 3P   | 0" "3s2.3p3.(4S*).5s | 3S*  | 1" "" "" L9366
4849.2 4849.24 20621.96 11 "" "" "" "26.161355    -   28.71813306" "3s2.3p3.(2P*).3d | 3D*  | 2" "3s2.3p3.(2D*).4p | 3P   | 1" "" "" L9366
4893.35 4893.3241 20435.9 6 "" "" "" "23.3976625   -   25.93140430" "3s2.3p3.(2D*).3d | 3D*  | 3" "3s2.3p3.(4S*).4p | 3P   | 2" "" "" L9366
4994.01 4994.009 20023.99 10 "" "" "" "27.813882    -   30.29654080" "3s2.3p3.(2D*).3d | 1F*  | 3" "3s2.3p3.(2P*).4p | 1D   | 2" "" "" L9366
5744.74 5744.7371 17407.23 1 "" "" "" "26.5757152   -   28.7339376" "3s2.3p3.(2D*).3d | 3P*  | 1" "3s2.3p3.(2D*).4p | 3P   | 0" "" "" L9366
7137.77 7137.76 14009.98 * 0.321 "" C "0.0000000   -    1.737019" "3s2.3p4          | 3P   | 2" "3s2.3p4          | 1D   | 2" M1 T335,T761 L3452
7137.77 7137.76 14009.98 * 0.0014 "" D "0.0000000   -    1.737019" "3s2.3p4          | 3P   | 2" "3s2.3p4          | 1D   | 2" E2 T761 L3452
