Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
3900.828 3900.84724 25635.58 20 "" "" "" "16.84805369  -   20.02644523" "2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1" "2s2.2p5.(2P*<3/2>).3d  | 2[1/2]* | 1" UT "" L3469
3944.656 3944.661 25350.75 20 "" "" "" "18.38162323  -   21.524712" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2" "" "" L3469
3985.192 3985.177 25092.9 20 "" "" "" "18.38162323  -   21.492758" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).9d  | 2[3/2]* | 1" "" "" L3469
3985.38 3985.378 25091.71 70 "" "" "" "18.38162323  -   21.492600" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).9d  | 2[3/2]* | 2" "" "" L3469
3996.428 3996.427 25022.35 10 "" "" "" "18.38162323  -   21.483999" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).13d | 2[3/2]* | 2" "" "" L3469
3996.851 3996.834 25019.7 10 "" "" "" "18.38162323  -   21.483683" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).13d | 2[1/2]* | 1" "" "" L3469
3999.725 3999.733 25001.72 10 "" "" "" "18.38162323  -   21.481435" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 1" "" "" L3469
4000.394 4000.408 24997.54 10 "" "" "" "18.38162323  -   21.480912" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<1/2>).10s | 2[1/2]* | 0" "" "" L3469
4014.887 4014.887 24907.3 10 "" "" "" "18.38162323  -   21.469735" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).12d | 2[3/2]* | 2" "" "" L3469
4015.13 4015.11 24905.8 20 "" "" "" "18.38162323  -   21.469565" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).12d | 2[1/2]* | 1" "" "" L3469
4021.151 4021.179 24868.5 20 "" "" "" "18.38162323  -   21.464903" "2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1" "2s2.2p5.(2P*<3/2>).13s | 2[3/2]* | 2" "" "" L3469
