Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
3931.411 3931.4081 25436.16 12 "" "" "" "34.2830939   -   37.4367781" "2s2.2p4.(1D).3p    | 2P*   | 1/2" "2s2.2p4.(3P).4d    | 4D    | 3/2" "" "" L1406
3934.583 3934.5791 25415.66 180 "" "" "" "35.12749222  -   38.2786348" "2s2.2p4.(3P).4s    | 2P    | 3/2" "2s2.2p4.(3P).5p    | 2P*   | 3/2" "" "" L1406
3943.374 3943.38031 25359.0 160 1000000.0 0.0035 D "27.78324821  -   30.92735780" "2s2.2p4.(3P).3s    | 2P    | 3/2" "2s2.2p4.(3P).3p    | 4D*   | 5/2" "" T380 L1406
3959.158 3959.1604 25257.9 22 "" "" "" "31.51244241  -   34.6440204" "2s2.2p4.(3P).3p    | 2P*   | 3/2" "2s2.2p4.(3P).3d    | 4D    | 1/2" "" "" L1406
3972.52 3972.506 25172.92 10 "" "" "" "36.46207411  -   39.583132" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "2s2.2p4.(3P).7s    | 2P    | 1/2" "" "" L11529
3974.579 3974.581 25159.9 12 "" "" "" "31.51244241  -   34.63187052" "2s2.2p4.(3P).3p    | 2P*   | 3/2" "2s2.2p4.(3P).3d    | 4D    | 3/2" "" "" L1406
3986.852 3986.8532 25082.44 160 "" "" "" "35.19841919  -   38.3082452" "2s2.2p4.(3P).4s    | 2P    | 1/2" "2s2.2p4.(3P).5p    | 2P*   | 1/2" "" "" L1406
4000.602 4000.60273 24996.24 100 370000.0 0.0018 D "27.85915908  -   30.95829705" "2s2.2p4.(3P).3s    | 2P    | 1/2" "2s2.2p4.(3P).3p    | 4D*   | 3/2" "" T380 L1406
4011.81 4011.827 24926.38 10 "" "" "" "36.4926649   -   39.583132" "2s2.2p4.(3P).4p    | 2P*   | 1/2" "2s2.2p4.(3P).7s    | 2P    | 1/2" "" "" L11529
4023.56 4023.5644 24853.63 5 "" "" "" "36.46207411  -   39.5435260" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "2s2.2p4.(3P).7s    | 4P    | 3/2" "" "" L11529c153
4025.18 4025.1792 24843.61 80 "" "" "" "35.19841919  -   38.2786348" "2s2.2p4.(3P).4s    | 2P    | 1/2" "2s2.2p4.(3P).5p    | 2P*   | 3/2" "" "" L1406
4055.58 4055.57 24657.41 6 "" "" "" "36.4926649   -   39.549799" "2s2.2p4.(3P).4p    | 2P*   | 1/2" "2s2.2p4.(3P).7s    | 4P    | 1/2" "" "" L11529
4064.1204 4064.1204 24605.57 160 "" "" "" "34.61869947  -   37.6694014" "2s2.2p4.(3P).3d    | 4D    | 5/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 7/2" "" "" L5951
4081.662 4081.6664 24499.824 140 "" "" "" "34.63187052  -   37.6694582" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<0>).4f | 2[3]* | 5/2" "" "" L9088
4087.926 4087.9223 24462.28 80 "" "" "" "34.6086522   -   37.6415915" "2s2.2p4.(3P).3d    | 4D    | 7/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "" "" L9088
4099.889 4099.8886 24390.91 12 "" "" "" "34.6086522   -   37.6327393" "2s2.2p4.(3P).3d    | 4D    | 7/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 7/2" "" "" L1406
4100.0213 4100.0206 24390.117 160 "" "" "" "34.6086522   -   37.6326419" "2s2.2p4.(3P).3d    | 4D    | 7/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 9/2" "" "" L9088
4101.51 4101.5094 24381.263 120 "" "" "" "34.61869947  -   37.6415915" "2s2.2p4.(3P).3d    | 4D    | 5/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 7/2" "" "" L1406
4103.07 4103.0845 24372.01 12 "" "" "" "34.6086522   -   37.6303838" "2s2.2p4.(3P).3d    | 4D    | 7/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L1406
4113.554 4113.5554 24309.877 100 "" "" "" "34.61869947  -   37.6327393" "2s2.2p4.(3P).3d    | 4D    | 5/2" "2s2.2p4.(3P<1>).4f | 2[4]* | 7/2" "" "" L1406
4115.29 4115.255 24299.62 16 "" "" "" "36.46207411  -   39.474869" "2s2.2p4.(3P).4p    | 2P*   | 3/2" "2s2.2p4.(3P).7s    | 2P    | 3/2" "" "" L11529
4119.361 4119.3585 24275.61 80 "" "" "" "34.63187052  -   37.6416644" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<1>).4f | 2[3]* | 5/2" "" "" L1406
4134.857 4134.8557 24184.634 180 "" "" "" "34.63187052  -   37.6303838" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 5/2" "" "" L1406
4135.034 4135.0363 24183.6 60 "" "" "" "34.63187052  -   37.6302529" "2s2.2p4.(3P).3d    | 4D    | 3/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L1406
4151.8597 4151.8603 24085.592 180 "" "" "" "34.6440204   -   37.6302529" "2s2.2p4.(3P).3d    | 4D    | 1/2" "2s2.2p4.(3P<1>).4f | 2[2]* | 3/2" "" "" L5951
