Observed Ritz Transition Rel. Aki fik Acc. "Ei           Ek" "Lower level" "Upper level" Type TP Line
3908.51 3908.48 25585.24 90 "" "" "" "60.457782    -   63.629966" "2s2.2p3.(2D*).4d | 3F*  | 3" "2s2.2p3.(2D*).5f | 1G   | 4" "" "" L10704
3910.77 3910.8 25570.44 200 "" "" "" "60.457782    -   63.628087" "2s2.2p3.(2D*).4d | 3F*  | 3" "2s2.2p3.(2D*).5f | 3G   | 4" "" "" L10704
3918.35 3918.35 25520.9 200 160000000.0 0.45 D "60.45880     -   63.622994" "2s2.2p3.(2D*).4d | 3F*  | 4" "2s2.2p3.(2D*).5f | 3G   | 5" "" T8046 L10704
"" 3918.372 25520.8 0m "" "" "" "58.579266    -   61.743441" "2s2.2p3.(2D*).4p | 1F   | 3" "2s2.2p3.(2D*).5s | 3D*  | 3" "" "" L10704
3922.14 3922.12 25496.3 700 200000000.0 0.56 D "55.34346+x   -   58.50461+x" "2s2.2p3.(4S*).4d | 5D*  | 4" "2s2.2p3.(4S*).5f | 5F   | 5" "" T8046 L10704
3922.14 3922.13 25496.3 700 140000000.0 0.45 D "55.343468+x  -   58.50461+x" "2s2.2p3.(4S*).4d | 5D*  | 2" "2s2.2p3.(4S*).5f | 5F   | 3" "" T8046 L10704
3922.14 3922.22 25496.3 700 170000000.0 0.5 D "55.343537+x  -   58.50461+x" "2s2.2p3.(4S*).4d | 5D*  | 3" "2s2.2p3.(4S*).5f | 5F   | 4" "" T8046 L10704
3957.72 3957.73 25267.1 160 "" "" "" "60.495631    -   63.628343" "2s2.2p3.(2D*).4d | 3G*  | 4" "2s2.2p3.(2D*).5f | 1H   | 5" "" "" L10704
3961.03 3961.02 25246.0 100 33000000.0 0.078 D "60.492887    -   63.622994" "2s2.2p3.(2D*).4d | 3G*  | 5" "2s2.2p3.(2D*).5f | 3G   | 5" "" T8046 L10704
3961.708 3961.705 25241.64 180 "" "" "" "60.498520    -   63.628087" "2s2.2p3.(2D*).4d | 3G*  | 3" "2s2.2p3.(2D*).5f | 3G   | 4" "" "" L9091
3963.13 3963.02 25232.5 240 210000000.0 0.58 D "60.492887    -   63.621413" "2s2.2p3.(2D*).4d | 3G*  | 5" "2s2.2p3.(2D*).5f | 3H   | 6" "" T8046 L10704
3966.74 3966.74 25209.6 200 "" "" "" "60.495631    -   63.62123" "2s2.2p3.(2D*).4d | 3G*  | 4" "2s2.2p3.(2D*).5f | 3H   | 5" "" "" L10704
