wavelength Rel.
3948.98000 0.00360
4045.18394 0.00671
4075.56413 0.00484
4105.94433 0.00298
4156.57798 0.02248
4197.08490 0.03665
4257.84529 0.02559
4298.35221 0.01031
4328.73240 0.02075
4369.23933 0.00733
4389.49279 0.00460
4419.87298 0.00932
4460.37990 0.00646
4495.82346 0.01540
4531.26702 0.00807
4576.83731 0.00758
4597.09077 0.00820
4642.66106 0.00658
4683.16798 0.00534
4713.54817 0.00770
4743.92837 0.01280
4789.49865 0.00584
4860.38577 0.00882
4900.89269 0.00323
4941.39962 0.00373
4992.03327 0.00522
5093.30058 0.00348
5128.74413 0.00571
5159.12433 0.00783
5189.50452 0.00584
5224.94808 0.00435
5300.89856 0.00410
5341.40548 0.00298
5366.72231 0.00609
5417.35596 0.00460
5457.86288 0.00832
5518.62327 0.00857
5564.19356 0.00820
5609.76385 0.00534
5645.20740 0.00311
5695.84106 0.00447
5721.15788 0.00671
5771.79154 0.00596
5802.17173 0.06224
5837.61529 0.02385
5867.99548 0.01019
5898.37567 0.02224
5928.75587 0.00795
5984.45288 0.02410
6030.02317 0.02025
6050.27663 0.03404
6105.97365 0.04286
6116.10038 0.01801
6171.79740 0.00919
6227.49442 0.02584
6262.93798 0.00894
6283.19144 0.01565
6338.88846 0.02683
6359.14192 0.04882
6465.47260 0.02174
6490.78942 0.00894
6556.61317 0.01938
6637.62702 0.05789
6678.13394 0.01516
6713.57750 0.02174
6840.16163 0.01814
6890.79529 0.02037
6936.36558 0.06199
6997.12596 0.03404
7037.63288 0.06224
7083.20317 0.00596
7118.64673 0.06211
7184.47048 0.00584
7219.91404 0.00696
7260.42096 0.06224
7295.86452 0.00360
7376.87837 0.04497
7498.39913 0.01764
7640.17337 0.00398
7731.31394 0.00174
